c3540 Number of Inputs = 50 
bin,int,len,inputs,attack_iterations,locking_time,SAT_extecution_time
0,0,1,['N248'],1,5.448150396347046,1.4931762218475342
00,0,2,"['N119', 'N176']",2,5.499997615814209,2.27653431892395
101,5,3,"['N61', ' N366', 'N146']",1,5.679311513900757,1.5529508590698242
1101,13,4,"['N373', 'N135', 'N422', 'N191']",2,5.484323978424072,1.9231879711151123
11111,31,5,"['N131', ' N106', 'N280', 'N23', 'N152']",1,6.293772459030151,1.6233530044555664
101110,46,6,"['N233', 'N479', 'N70', 'N307', 'N119', 'N67']",1,5.378847360610962,1.4757778644561768
1011000,88,7,"['N293', 'N619', 'N31', 'N81', 'N549', 'N20', 'N241']",1,5.270030736923218,1.3693315982818604
11100110,230,8,"['N11', 'N173', 'N70', 'N81', 'N523', 'N34', 'N234', 'N200']",34,5.331142902374268,14.111112117767334
110011100,412,9,"['N114', 'N146', 'N97', 'N571', ' N580', 'N400', 'N307', 'N25', 'N373']",2,5.413879156112671,1.8270814418792725
1111111111,1023,10,"['N67', 'N26', 'N233', 'N135', 'N117', 'N254', 'N149', 'N167', 'N248', 'N145']",2,5.383494138717651,1.8368752002716064
11001111100,1660,11,"['N112', 'N369', 'N272', 'N307', 'N265', 'N43', 'N281', 'N46', 'N52', 'N218', 'N167']",8,5.683611154556274,4.133397340774536
010101100100,1380,12,"['N11', 'N468', 'N566', 'N91', 'N273', 'N176', 'N234', 'N288', 'N14', 'N170', 'N40', 'N83']",1,5.486447334289551,1.4432287216186523
0110101111011,3451,13,"['N49', 'N610', 'N161', 'N40', ' N603', 'N140', 'N128', 'N369', 'N613', 'N117', 'N331', 'N619', 'N280']",751,5.66212010383606,301.9353451728821
01000011110100,4340,14,"['N67', 'N14', 'N76', ' N324', 'N597', 'N25', 'N372', 'N123', 'N613', 'N182', 'N91', 'N194', 'N248', 'N34']",6,5.520934343338013,3.4128596782684326
