c3540 ,Number of Inputs = 50 ,,
inputs,attack_iterations,locking_time,SAT_extecution_time
"[' N87', 'N169', 'N322', 'N116', 'N213', 'N349', 'N250', 'N226', 'N128']",256,3.772578001,62.13802767
"[' N87', 'N169', 'N322', 'N116', 'N213', 'N349', 'N250', 'N226', 'N128']",256,3.772578001,62.13802767
"[' N87', 'N169', 'N322', 'N116', 'N213', 'N349', 'N250', 'N226', 'N128']",256,3.772578001,62.13802767
"[' N87', 'N169', 'N322', 'N116', 'N213', 'N349', 'N250', 'N226', 'N128']",256,3.772578001,62.13802767
"[' N87', 'N169', 'N322', 'N116', 'N213', 'N349', 'N250', 'N226', 'N128']",256,3.772578001,62.13802767
"[' N87', 'N169', 'N322', 'N116', 'N213', 'N349', 'N250', 'N226', 'N128']",256,3.772578001,62.13802767
"[' N87', 'N169', 'N322', 'N116', 'N213', 'N349', 'N250', 'N226', 'N128']",256,3.772578001,62.13802767
"[' N87', 'N169', 'N322', 'N116', 'N213', 'N349', 'N250', 'N226', 'N128']",256,3.772578001,62.13802767
c880 ,Number of Inputs = 60 ,,
inputs,attack_iterations,locking_time,SAT_extecution_time
"['N246', 'N260', 'N138', 'N42', 'N261', 'N130', 'N152', 'N121', 'N111']",256,2.364671707,21.80011272
"['N246', 'N260', 'N138', 'N42', 'N261', 'N130', 'N152', 'N121', 'N111']",256,2.364671707,21.80011272
"['N246', 'N260', 'N138', 'N42', 'N261', 'N130', 'N152', 'N121', 'N111']",256,2.364671707,21.80011272
"['N246', 'N260', 'N138', 'N42', 'N261', 'N130', 'N152', 'N121', 'N111']",256,2.364671707,21.80011272
"['N246', 'N260', 'N138', 'N42', 'N261', 'N130', 'N152', 'N121', 'N111']",256,2.364671707,21.80011272
"['N246', 'N260', 'N138', 'N42', 'N261', 'N130', 'N152', 'N121', 'N111']",256,2.364671707,21.80011272
"['N246', 'N260', 'N138', 'N42', 'N261', 'N130', 'N152', 'N121', 'N111']",256,2.364671707,21.80011272
"['N246', 'N260', 'N138', 'N42', 'N261', 'N130', 'N152', 'N121', 'N111']",256,2.364671707,21.80011272
c7552 ,Number of Inputs = 207 ,,
inputs,attack_iterations,locking_time,SAT_extecution_time
"['N110', 'N9', 'N171', 'N328', 'N296', ' N141', 'N331', 'N190', 'N224']",256,6.655887365,96.66516757
"['N110', 'N9', 'N171', 'N328', 'N296', ' N141', 'N331', 'N190', 'N224']",256,6.655887365,96.66516757
"['N110', 'N9', 'N171', 'N328', 'N296', ' N141', 'N331', 'N190', 'N224']",256,6.655887365,96.66516757
"['N110', 'N9', 'N171', 'N328', 'N296', ' N141', 'N331', 'N190', 'N224']",256,6.655887365,96.66516757
"['N110', 'N9', 'N171', 'N328', 'N296', ' N141', 'N331', 'N190', 'N224']",256,6.655887365,96.66516757
"['N110', 'N9', 'N171', 'N328', 'N296', ' N141', 'N331', 'N190', 'N224']",256,6.655887365,96.66516757
"['N110', 'N9', 'N171', 'N328', 'N296', ' N141', 'N331', 'N190', 'N224']",256,6.655887365,96.66516757
"['N110', 'N9', 'N171', 'N328', 'N296', ' N141', 'N331', 'N190', 'N224']",256,6.655887365,96.66516757
c17 ,Number of Inputs = 5 ,,
inputs,attack_iterations,locking_time,SAT_extecution_time
"['N2', 'N6', 'N3', 'N1', 'N7']",16,1.763096809,0.317707777
"['N2', 'N6', 'N3', 'N1', 'N7']",16,1.763096809,0.317707777
"['N2', 'N6', 'N3', 'N1', 'N7']",16,1.763096809,0.317707777
"['N2', 'N6', 'N3', 'N1', 'N7']",16,1.763096809,0.317707777
c5315 ,Number of Inputs = 178 ,,
inputs,attack_iterations,locking_time,SAT_extecution_time
"['N254', 'N233', ' N435', 'N599', 'N37', 'N358', 'N534', 'N167', 'N625']",256,5.400835037,101.1144891
"['N254', 'N233', ' N435', 'N599', 'N37', 'N358', 'N534', 'N167', 'N625']",256,5.400835037,101.1144891
"['N254', 'N233', ' N435', 'N599', 'N37', 'N358', 'N534', 'N167', 'N625']",256,5.400835037,101.1144891
"['N254', 'N233', ' N435', 'N599', 'N37', 'N358', 'N534', 'N167', 'N625']",256,5.400835037,101.1144891
"['N254', 'N233', ' N435', 'N599', 'N37', 'N358', 'N534', 'N167', 'N625']",256,5.400835037,101.1144891
"['N254', 'N233', ' N435', 'N599', 'N37', 'N358', 'N534', 'N167', 'N625']",256,5.400835037,101.1144891
"['N254', 'N233', ' N435', 'N599', 'N37', 'N358', 'N534', 'N167', 'N625']",256,5.400835037,101.1144891
"['N254', 'N233', ' N435', 'N599', 'N37', 'N358', 'N534', 'N167', 'N625']",256,5.400835037,101.1144891
