c3540 ,Number of Inputs = 50 ,,,,,
bin,int,len,inputs,attack_iterations,locking_time,SAT_extecution_time
11100,28,6,"['N346', ' N97', 'N100', 'N60', 'N160', 'N53']",1,6.497823238,1.500648499
1010010,82,7,"['N313', 'N160', 'N100', 'N130', 'N163', 'N263', 'N83']",1,6.747130632,1.618329525
1111010,122,8,"['N114', 'N155', 'N209', 'N199', 'N331', 'N5', 'N168', 'N361']",2,6.684753418,1.921942711
10000100,132,9,"['N313', 'N231', 'N267', 'N75', ' N207', 'N147', ' N293', 'N158', 'N159']",29,6.714580774,11.76280975
1001111101,637,10,"['N113', 'N178', ' N97', 'N215', 'N103', 'N235', 'N133', 'N367', 'N213', 'N226']",15,6.948527336,6.694524288
10011101111,1263,11,"['N232', 'N234', 'N75', 'N12', 'N168', 'N322', 'N316', ' N115', 'N183', 'N151', 'N138']",1,6.967238665,1.424752235
1.00E+11,2071,12,"['N188', 'N169', 'N319', 'N103', 'N156', 'N310', 'N194', 'N170', 'N185', 'N162', 'N60', 'N190']",2,6.83552742,1.981357813
1.10E+12,6288,13,"['N257', 'N165', 'N163', 'N191', 'N202', 'N367', 'N94', 'N220', 'N283', 'N38', ' N197', 'N343', 'N190']",1,7.07561326,1.538474321
1.10E+13,13175,14,"['N38', 'N307', 'N319', 'N29', 'N41', ' N115', 'N232', ' N35', 'N186', 'N184', 'N225', 'N26', ' N217', 'N161']",20,7.007321358,8.789484024
1.10E+14,25240,15,"['N85', ' N325', 'N194', 'N182', 'N257', 'N89', 'N94', 'N77', 'N280', 'N73', 'N109', 'N12', 'N213', 'N186', ' N293']",5,7.521843195,3.312070608
1.01E+12,6032,16,"['N55', 'N113', ' N187', ' N97', 'N199', 'N78', 'N159', ' N69', 'N203', ' N197', 'N274', 'N196', 'N316', 'N41', 'N171', 'N286']",51,7.052967548,21.42778206
1.00E+16,73100,17,"['N152', 'N382', ' N167', 'N263', 'N76', 'N100', 'N358', 'N153', 'N215', 'N188', 'N286', 'N251', 'N185', ' N227', ' N57', 'N229', 'N191']",705,7.296687841,273.9409852
1.00E+15,40504,18,"['N153', 'N208', 'N337', 'N361', 'N200', ' N355', 'N29', 'N307', 'N83', 'N121', 'N151', 'N254', 'N229', 'N212', 'N62', 'N176', 'N310', 'N150']",18,7.508005857,8.570222139
1.10E+18,421932,19,"['N127', ' N227', 'N296', ' N69', 'N240', 'N161', 'N205', 'N144', 'N224', 'N190', 'N77', 'N166', 'N86', 'N201', ' N35', 'N88', 'N59', 'N163', 'N75']",1,7.242850542,1.802657127
c17 ,Number of Inputs = 5 ,,,,,
bin,int,len,inputs,attack_iterations,locking_time,SAT_extecution_time
1,1,1,['N6'],1,1.769349098,0.197040081
0,0,2,"['N2', 'N1']",1,2.008576155,0.184371233
110,6,3,"['N1', 'N6', 'N7']",2,1.967826128,0.276540279
1111,15,4,"['N7', 'N1', 'N3', 'N6']",15,2.330827236,0.658402205
11011,27,5,"['N3', 'N2', 'N6', 'N1', 'N7']",31,2.083376169,1.201707125
c5315 ,Number of Inputs = 178 ,,,,,
bin,int,len,inputs,attack_iterations,locking_time,SAT_extecution_time
0,0,1,['N80'],1,5.138440132,1.445676565
10,2,2,"['N280', 'N191']",3,5.014991045,2.297276735
0,0,3,"['N114', 'N583', 'N577']",2,5.528799295,2.088111639
1010,10,4,"['N281', 'N25', 'N386', 'N351']",1,5.341078997,1.534305334
1,1,5,"['N556', 'N338', 'N571', 'N592', 'N131']",1,5.205310345,1.510300159
101100,44,6,"['N571', 'N281', 'N588', 'N373', 'N479', 'N145']",1,5.279724836,1.583683491
1010111,87,7,"[' N132', 'N121', 'N31', ' N54', ' N185', 'N616', 'N64']",2,5.49675107,2.045123577
111110,62,8,"[' N289', 'N109', 'N4', 'N64', 'N112', 'N81', ' N132', 'N128']",2,5.335951328,2.036766291
100110001,305,9,"['N549', 'N599', 'N161', 'N114', 'N81', 'N52', ' N185', 'N574', 'N386']",2,5.388922453,2.084915876
101011111,351,10,"['N194', 'N64', 'N112', 'N234', 'N597', ' N106', 'N79', 'N264', 'N446', 'N91']",1,5.626020908,1.616921902
10011110100,1268,11,"[' N155', 'N338', ' N580', 'N272', ' N54', 'N308', 'N118', 'N341', 'N23', 'N552', 'N197']",1128,5.728134632,459.5758801
1.11E+11,3864,12,"['N248', ' N217', 'N88', 'N34', 'N145', 'N83', 'N113', 'N373', 'N73', ' N155', 'N598', ' N82']",1,5.679972887,1.670443773
11011011000,1752,13,"['N200', 'N80', 'N152', 'N179', ' N217', 'N341', ' N580', 'N625', 'N188', 'N607', 'N595', 'N556', 'N308']",751,5.66990447,307.3039868
1.11E+13,15800,14,"[' N217', 'N79', ' N185', 'N323', 'N76', 'N248', 'N83', ' N251', ' N603', 'N170', 'N209', 'N64', 'N140', 'N70']",1,5.997161388,1.748689175
1.11E+11,3999,15,"['N571', 'N17', 'N592', 'N374', 'N113', 'N234', 'N164', 'N64', 'N315', 'N100', ' N155', 'N24', 'N88', 'N457', 'N167']",1,5.89120841,1.6623137
1.10E+15,49578,16,"['N34', 'N203', 'N288', 'N468', 'N571', 'N556', 'N372', ' N106', ' N132', 'N64', 'N348', ' N289', ' N603', 'N422', 'N293', 'N131']",2,5.995433807,2.228662491
1.00E+15,35812,17,"['N288', 'N164', 'N200', ' N27', 'N599', 'N116', 'N86', 'N117', 'N619', 'N136', 'N566', 'N126', 'N523', 'N241', 'N131', 'N14', 'N209']",243,5.917179823,115.5957294
1.01E+15,42628,18,"['N479', 'N386', 'N225', 'N188', 'N73', 'N129', 'N64', 'N49', 'N468', 'N598', 'N422', 'N292', 'N4', 'N323', 'N26', ' N580', 'N14', 'N43']",12978,6.052279711,6418.6596
1.11E+15,65433,19,"[' N435', 'N265', 'N145', 'N226', ' N580', 'N119', 'N254', 'N109', 'N479', 'N315', 'N400', 'N613', 'N128', 'N577', 'N136', 'N341', 'N559', ' N251', 'N80']",30,6.106687307,16.48684716
